stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
n1372_1,大住北,焼津市,34.849674,138.283958,,0,n1372,1
n1370_1,中新田,焼津市,34.84133,138.285207,,0,n1370,1
n1437,藤守,焼津市,34.807252,138.306515,,1,,0
n1374,柳新屋,焼津市,34.856711,138.283322,,1,,0
n1426,高新田防災センター前,焼津市,34.794151,138.307316,,1,,0
n1379,文化センター前,焼津市,34.864279,138.30639,,1,,0
n1354,横町,焼津市,34.86068,138.323842,,1,,0
n1421_0,利右衛門,焼津市,34.788865,138.287436,,0,n1421,1
n31690_1,信香院,焼津市,34.849365,138.323795,,0,n31690,0
n1428_1,高新田平,焼津市,34.799813,138.312246,,0,n1428,1
n1414_11,上新田中,焼津市,34.822149,138.262714,,0,n1414,1
n1394_1,坂本南,焼津市,34.885898,138.308575,,0,n1394,1
n1369_1,中新田配水場,焼津市,34.83493,138.285489,,0,n1369,1
n31695,アクアスやいづ入口,焼津市,34.857169,138.324348,,1,,0
n31690,信香院,焼津市,34.849102,138.32367,,1,,0
n1418_0,グランリバー前,焼津市,34.8096655,138.2762712,,0,n1418,0
n1416_0,西小入口,焼津市,34.816604,138.265584,,0,n1416,1
n31675_1,三和ちびっこ広場前,焼津市,34.824439,138.301842,,0,n31675,0
n1382_0,サンライフ焼津,焼津市,34.873961,138.324501,,0,n1382,1
n1397_0,大村公民館,焼津市,34.874373,138.300813,,0,n1397,1
n1401_0,駅北三丁目,焼津市,34.873548,138.315007,,0,n1401,0
n1381,焼津一丁目,焼津市,34.867695,138.313957,,1,,0
n31700_1,城之腰,焼津市,34.861974,138.324806,,0,n31700,0
n1387_1,東益津小学校前,焼津市,34.887004,138.321511,,0,n1387,1
n1359,竪小路団地,焼津市,34.857775,138.307229,,1,,0
n1357_0,保健センター,焼津市,34.858845,138.315583,,0,n1357,1
n1375_0,柳新屋東,焼津市,34.858816,138.290249,,0,n1375,0
n1382_1,サンライフ焼津,焼津市,34.874278,138.324887,,0,n1382,1
n1392,林叟院入口,焼津市,34.892241,138.311597,,1,,0
n1395,高草橋,焼津市,34.88347,138.306287,,1,,0
n1432_0,一色浜,焼津市,34.815088,138.324761,,0,n1432,0
n30365_1,東島,焼津市,34.788898,138.284767,,0,n30365,0
n31665_0,大島下,焼津市,34.820106,138.29563,,0,n31665,0
n31660_1,大島中央公園,焼津市,34.821832,138.28945,,0,n31660,0
n1421,利右衛門,焼津市,34.789052,138.287412,,1,,0
n1439,鶴巻団地,焼津市,34.801083,138.301161,,1,,0
n3272_0,大富小学校前,焼津市,34.834318,138.295854,,0,n3272,1
n1366_0,河原中,焼津市,34.830471,138.292602,,0,n1366,0
n1368_0,中根新田,焼津市,34.830191,138.286803,,0,n1368,1
n1391_0,坂本団地,焼津市,34.890976,138.314748,,0,n1391,0
n3281_1,西焼津駅南口,焼津市,34.85955,138.28556,,0,n3281,1
n3263_5,焼津市立病院前（５番のりば）,焼津市,34.837541,138.306776,,0,n3263,1
n1413_1,上新田北,焼津市,34.824113,138.257253,,0,n1413,1
n1351_0,中港,焼津市,34.871474,138.322372,,0,n1351,1
n1361,泓の川,焼津市,34.854196,138.300477,,1,,0
n1365_0,道原,焼津市,34.836153,138.301845,,0,n1365,0
n1380,西小学校前,焼津市,34.865653,138.31091,,1,,0
n1425_0,宮島,焼津市,34.790055,138.303967,,0,n1425,1
n3311_1,水産加工センター,焼津市,34.817485,138.321944,,0,n3311,1
n1405_0,大井川体育館,焼津市,34.796114,138.271818,,0,n1405,1
n1441_1,上田中,焼津市,34.80025,138.292127,,0,n1441,1
n1409_1,相川上,焼津市,34.806871,138.256599,,0,n1409,1
n1407_1,富士見橋,焼津市,34.801832,138.261861,,0,n1407,1
n1402_0,大井川庁舎,焼津市,34.804012,138.284413,,0,n1402,1
n1419_1,下江留中,焼津市,34.80774,138.27945,,0,n1419,1
n1389_0,高草山石脇入口,焼津市,34.891677,138.322286,,0,n1389,0
n1354_1,横町,焼津市,34.860673,138.323793,,0,n1354,0
n1391,坂本団地,焼津市,34.890998,138.314736,,1,,0
n1396,総合福祉会館,焼津市,34.87622,138.304484,,1,,0
n1374_0,柳新屋,焼津市,34.856534,138.283297,,0,n1374,1
n1394_0,坂本南,焼津市,34.885819,138.308596,,0,n1394,1
n31705,市役所北,焼津市,34.86761,138.323652,,1,,1
n1402,大井川庁舎,焼津市,34.80401,138.28441,,1,,0
n31695_0,アクアスやいづ入口,焼津市,34.857169,138.324348,,0,n31695,0
n1437_1,藤守,焼津市,34.807342,138.306574,,0,n1437,1
n1356_1,田子乃橋,焼津市,34.857796,138.32275,,0,n1356,1
n31685,小川港南,焼津市,34.843951,138.325636,,1,,0
n3201,吉永辻,焼津市,34.796425,138.296283,,1,,0
n1363,祢宜島配水場,焼津市,34.84225,138.303546,,1,,0
n1357,保健センター,焼津市,34.858949,138.315066,,1,,0
n1426_0,高新田防災センター前,焼津市,34.79401,138.307309,,0,n1426,1
n31680_0,石津西公園前,焼津市,34.84301,138.313303,,0,n31680,0
n1430_1,藤守防災センター前,焼津市,34.80786,138.31828,,0,n1430,1
n31650_1,まんさいかん前,焼津市,34.814759,138.281736,,0,n31650,0
n1378_0,三ケ名東,焼津市,34.860839,138.304665,,0,n1378,1
n1415,東名入口,焼津市,34.82048,138.267168,,1,,0
n1417_1,上新田西,焼津市,34.812966,138.27127,,0,n1417,1
n1399_1,さかなセンター,焼津市,34.878605,138.303158,,0,n1399,1
n1385_1,岡当目,焼津市,34.88212,138.323366,,0,n1385,1
n1367_1,木屋川,焼津市,34.829684,138.291017,,0,n1367,1
n1361_1,泓の川,焼津市,34.854302,138.30138,,0,n1361,1
n1403,中学校前,焼津市,34.801447,138.281118,,1,,0
n1410_0,寺島,焼津市,34.809685,138.259388,,0,n1410,0
n1361_0,泓の川,焼津市,34.854218,138.30138,,0,n1361,1
n1438,平松口,焼津市,34.803923,138.302926,,1,,0
n1375,柳新屋東,焼津市,34.858855,138.291254,,1,,0
n1408_0,相川,焼津市,34.804722,138.259538,,0,n1408,0
n1380_0,西小学校前,焼津市,34.8657922,138.3109887,,0,n1380,0
n1407,富士見橋,焼津市,34.801791,138.261992,,1,,0
n1389,高草山石脇入口,焼津市,34.891837,138.322343,,1,,0
n1412,上泉上,焼津市,34.81957,138.2531,,1,,0
n3273,大富,焼津市,34.837335,138.296611,,1,,0
n1441_0,上田中,焼津市,34.800127,138.292041,,0,n1441,0
n31690_0,信香院,焼津市,34.849102,138.32367,,0,n31690,0
n1416_1,西小入口,焼津市,34.816754,138.265552,,0,n1416,1
n1399_0,さかなセンター,焼津市,34.878482,138.303222,,0,n1399,1
n1398_0,大覚寺,焼津市,34.875073,138.299799,,0,n1398,1
n1443,中川原,焼津市,34.806844,138.286816,,1,,0
n3273_0,大富,焼津市,34.8370001,138.2965294,,0,n3273,1
n1422,臨港工業団地前,焼津市,34.785628,138.292404,,1,,0
n3202,吉永,焼津市,34.793775,138.295607,,1,,0
n1397,大村公民館,焼津市,34.874414,138.300682,,1,,0
n1364_1,祢宜島,焼津市,34.840818,138.308126,,0,n1364,1
n1401_1,駅北三丁目,焼津市,34.873645,138.314792,,0,n1401,0
n1389_1,高草山石脇入口,焼津市,34.891712,138.32235,,0,n1389,0
n1371_1,大住,焼津市,34.844805,138.284414,,0,n1371,0
n30365,東島,焼津市,34.788811,138.28499,,1,,0
n1368,中根新田,焼津市,34.83026,138.286737,,1,,0
n1431_0,小杉浜,焼津市,34.812317,138.322528,,0,n1431,0
n1436_1,天満宮前（大井川方面行き）,焼津市,34.812081,138.314529,,0,n1436,1
n1392_0,林叟院入口,焼津市,34.892216,138.311529,,0,n1392,0
n1391_1,坂本団地,焼津市,34.891011,138.314684,,0,n1391,0
n31685_0,小川港南,焼津市,34.843951,138.325636,,0,n31685,0
n1404_0,中島,焼津市,34.793691,138.274736,,0,n1404,0
n1379_0,文化センター前,焼津市,34.864342,138.3065,,0,n1379,1
n1413,上新田北,焼津市,34.823774,138.257955,,1,,0
n31655_1,上小杉,焼津市,34.817313,138.282616,,0,n31655,0
n1405_1,大井川体育館,焼津市,34.796114,138.271689,,0,n1405,0
n1388_0,日本坂PA,焼津市,34.889461,138.321869,,0,n1388,1
n1384,虚空蔵尊入口,焼津市,34.879473,138.329544,,1,,0
n1365,道原,焼津市,34.836215,138.301757,,1,,0
n3221_4,焼津駅前（４番のりば）,焼津市,34.871732,138.31828,,0,n3221,1
n1368_1,中根新田,焼津市,34.830226,138.286926,,0,n1368,1
n1360_1,西小川四丁目,焼津市,34.854459,138.304672,,0,n1360,1
n1353_1,北浜通,焼津市,34.863732,138.324172,,0,n1353,0
n3311,水産加工センター,焼津市,34.817604,138.322122,,1,,0
n30355,上島,焼津市,34.791833,138.291668,,1,,0
n1427_0,平松,焼津市,34.797009,138.310046,,0,n1427,0
n1414_01,上新田中,焼津市,34.822017,138.262703,,0,n1414,1
n1425,宮島,焼津市,34.790501,138.304127,,1,,0
n31650,まんさいかん前,焼津市,34.814785,138.281478,,1,,0
n1399,さかなセンター,焼津市,34.878629,138.303266,,1,,0
n31675,三和ちびっこ広場前,焼津市,34.824254,138.301756,,1,,0
n1435,下小杉,焼津市,34.815094,138.315211,,1,,0
n1431_1,小杉浜,焼津市,34.812409,138.32237,,0,n1431,1
n1438_0,平松口,焼津市,34.804333,138.303269,,0,n1438,1
n1435_0,下小杉,焼津市,34.8143258,138.3148213,,0,n1435,0
n1410_1,寺島,焼津市,34.809826,138.25942,,0,n1410,1
n1362_0,三右衛門新田,焼津市,34.848132,138.299862,,0,n1362,1
n1383_0,当目大橋,焼津市,34.87772,138.32736,,0,n1383,0
n1442,大井川福祉センター,焼津市,34.803516,138.290151,,1,,0
n1400,牛田橋,焼津市,34.877761,138.311637,,1,,0
n1387,東益津小学校前,焼津市,34.886918,138.321468,,1,,0
n1371,大住,焼津市,34.844947,138.284399,,1,,0
n1356,田子乃橋,焼津市,34.857877,138.322249,,1,,0
n1353_0,北浜通,焼津市,34.863697,138.324247,,0,n1353,0
n1355_0,アクアスやいづ,焼津市,34.856873,138.326371,,0,n1355,1
n1441,上田中,焼津市,34.800192,138.292171,,1,,0
n1367,木屋川,焼津市,34.829638,138.291086,,1,,0
n1427_1,平松,焼津市,34.79705,138.309889,,0,n1427,1
n1415_11,東名入口,焼津市,34.820546,138.267419,,0,n1415,1
n1377_1,三ケ名西,焼津市,34.859359,138.299442,,0,n1377,0
n1428,高新田平,焼津市,34.800473,138.312688,,1,,0
n1418,グランリバー前,焼津市,34.809568,138.276408,,1,,0
n1362,三右衛門新田,焼津市,34.84813,138.29986,,1,,0
n1367_0,木屋川,焼津市,34.829618,138.290958,,0,n1367,1
n1381_0,焼津一丁目,焼津市,34.867548,138.3134862,,0,n1381,0
n1373_1,小柳津,焼津市,34.853818,138.283641,,0,n1373,1
n1591,つつじ平団地,焼津市,34.8161,138.249376,,1,,0
n3207_0,飯淵,焼津市,34.78759,138.281382,,0,n3207,1
n1430,藤守防災センター前,焼津市,34.80786,138.31828,,1,,0
n3221,焼津駅前,焼津市,34.871754,138.318569,,1,,0
n3202_0,吉永,焼津市,34.793898,138.29585,,0,n3202,0
n1440_0,高新田,焼津市,34.798065,138.298098,,0,n1440,0
n1439_0,鶴巻団地,焼津市,34.801338,138.301424,,0,n1439,1
n1378,三ヶ名東,焼津市,34.86083,138.304777,,1,,0
n3272,大富小学校前,焼津市,34.833817,138.29544,,1,,0
n1398,大覚寺,焼津市,34.87507,138.29979,,1,,0
n1393_1,坂本,焼津市,34.890485,138.310193,,0,n1393,0
n1422_0,臨港工業団地前,焼津市,34.785596,138.292344,,0,n1422,0
n1434_1,一色上,焼津市,34.828375,138.31085,,0,n1434,0
n1375_1,柳新屋東,焼津市,34.858776,138.29026,,0,n1375,0
n1364,祢宜島,焼津市,34.840557,138.308131,,1,,0
n31680_1,石津西公園前,焼津市,34.842873,138.313362,,0,n31680,0
n1417_0,上新田西,焼津市,34.8129488,138.2710285,,0,n1417,1
n1411_1,上泉,焼津市,34.81378,138.2566,,0,n1411,1
n1405,大井川体育館,焼津市,34.796073,138.271751,,1,,0
n1388,日本坂PA,焼津市,34.889217,138.321866,,1,,0
n1403_0,中学校前,焼津市,34.801435,138.280974,,0,n1403,1
n1373_0,小柳津,焼津市,34.853752,138.283528,,0,n1373,1
n1378_1,三ケ名東,焼津市,34.860839,138.304799,,0,n1378,1
n3201_0,吉永辻,焼津市,34.796448,138.296059,,0,n3201,1
n3221_1,焼津駅前（１番のりば）,焼津市,34.871943,138.318662,,0,n3221,1
n1400_1,牛田橋,焼津市,34.877695,138.311595,,0,n1400,1
n1434,一色上,焼津市,34.828156,138.310922,,1,,0
n3263,焼津市立病院前,焼津市,34.837552,138.30714,,1,,0
n1436,天満宮前,焼津市,34.812061,138.314426,,1,,0
n1377,三ヶ名西,焼津市,34.859396,138.300002,,1,,0
n1433_0,木の子橋北,焼津市,34.8216485,138.3113354,,0,n1433,0
n1408_1,相川,焼津市,34.804616,138.25956,,0,n1408,0
n1359_0,竪小路団地,焼津市,34.857816,138.307338,,0,n1359,1
n1371_0,大住,焼津市,34.84499,138.284296,,0,n1371,1
n1395_1,高草橋,焼津市,34.883438,138.306275,,0,n1395,0
n1404,中島,焼津市,34.793787,138.275043,,1,,0
n1351,中港,焼津市,34.871363,138.322367,,1,,0
n1372,大住北,焼津市,34.849551,138.283942,,1,,0
n1428_0,高新田平,焼津市,34.799746,138.312395,,0,n1428,0
n3207_1,飯淵,焼津市,34.787575,138.281444,,0,n3207,1
n31650_0,まんさいかん前,焼津市,34.814785,138.281478,,0,n31650,0
n1354_0,横町,焼津市,34.860717,138.323879,,0,n1354,0
n31665,大島下,焼津市,34.820106,138.29563,,1,,0
n1385,岡当目,焼津市,34.88204,138.323313,,1,,0
n1412_0,上泉上,焼津市,34.8199,138.25334,,0,n1412,1
n1358_0,西小川一丁目,焼津市,34.860073,138.310605,,0,n1358,1
n1366_1,河原中,焼津市,34.830577,138.292575,,0,n1366,1
n1426_1,高新田防災センター前,焼津市,34.794047,138.307225,,0,n1426,1
n1424_1,六軒屋,焼津市,34.786751,138.30085,,0,n1424,1
n1400_0,牛田橋,焼津市,34.877704,138.311777,,0,n1400,1
n1408,相川,焼津市,34.804398,138.259666,,1,,0
